iter	Passed	Remaining
407	4974	7217
408	4987	7206
409	4999	7194
410	5012	7182
411	5024	7171
412	5039	7163
413	5054	7155
414	5071	7149
415	5087	7141
416	5103	7135
417	5119	7127
418	5135	7120
419	5149	7111
420	5160	7097
421	5174	7087
422	5190	7080
423	5203	7069
424	5218	7059
425	5230	7047
426	5242	7035
427	5257	7025
428	5270	7014
429	5285	7006
430	5299	6996
431	5311	6983
432	5324	6972
433	5337	6960
434	5350	6949
435	5364	6939
436	5376	6927
437	5389	6914
438	5403	6905
439	5417	6894
440	5431	6885
441	5447	6876
442	5462	6867
443	5473	6854
444	5488	6845
445	5503	6835
446	5517	6826
447	5532	6816
448	5548	6808
449	5562	6798
450	5576	6788
451	5591	6779
452	5606	6769
453	5620	6759
454	5631	6745
455	5646	6735
456	5659	6724
457	5673	6713
458	5689	6706
459	5706	6698
460	5720	6688
461	5734	6678
462	5745	6663
463	5758	6652
464	5771	6640
465	5790	6635
466	5813	6634
467	5829	6626
468	5845	6618
469	5865	6613
470	5890	6615
471	5911	6613
472	5932	6609
473	5945	6598
474	5958	6585
475	5971	6573
476	5986	6564
477	6002	6554
478	6016	6544
479	6030	6533
480	6042	6520
481	6059	6511
482	6071	6499
483	6085	6487
484	6099	6476
485	6112	6464
486	6124	6451
487	6137	6439
488	6150	6427
489	6164	6415
490	6177	6404
491	6190	6391
492	6202	6378
493	6216	6367
494	6230	6356
495	6243	6343
496	6256	6332
497	6269	6320
498	6283	6308
499	6295	6295
500	6308	6283
501	6321	6271
502	6333	6258
503	6345	6244
504	6360	6234
505	6371	6220
506	6383	6207
507	6397	6195
508	6410	6183
509	6421	6169
510	6433	6156
511	6446	6144
512	6461	6134
513	6474	6122
514	6486	6108
515	6499	6096
516	6512	6084
517	6525	6071
518	6537	6058
519	6549	6045
520	6561	6032
521	6574	6020
522	6585	6006
523	6597	5993
524	6611	5981
525	6624	5969
526	6636	5956
527	6648	5943
528	6660	5929
529	6673	5918
530	6687	5906
531	6698	5892
532	6714	5882
533	6726	5869
534	6739	5857
535	6750	5843
536	6764	5832
537	6784	5826
538	6798	5814
539	6814	5804
540	6829	5793
541	6843	5782
542	6860	5773
543	6881	5768
544	6897	5758
545	6914	5749
546	6930	5739
547	6951	5733
548	6968	5724
549	6984	5714
550	7000	5704
551	7014	5693
552	7030	5682
553	7044	5671
554	7059	5660
555	7073	5648
556	7087	5637
557	7103	5626
558	7120	5617
559	7138	5608
560	7154	5598
561	7170	5588
562	7187	5578
563	7204	5569
564	7226	5563
565	7245	5555
566	7262	5546
567	7278	5536
568	7295	5525
569	7311	5515
570	7330	5507
571	7347	5497
572	7366	5489
573	7383	5479
574	7400	5469
575	7415	5458
576	7431	5448
577	7446	5436
578	7461	5425
579	7476	5414
580	7490	5402
581	7507	5392
