iter	Logloss
0	0.6312249333
1	0.5755759813
2	0.5283197897
3	0.4880805129
4	0.4540391346
5	0.4219801932
6	0.3974504306
7	0.374555545
8	0.356297312
9	0.3411145862
10	0.3275189223
11	0.3153801335
12	0.3046702071
13	0.2928612996
14	0.2828534696
15	0.2743792047
16	0.266435583
17	0.2592216192
18	0.2538939265
19	0.2490484861
20	0.2437974196
21	0.2379556706
22	0.2333317669
23	0.2296336175
24	0.2255558004
25	0.2215639709
26	0.2187261931
27	0.2159702961
28	0.2135399415
29	0.2104975144
30	0.2077284149
31	0.2050675515
32	0.2025760608
33	0.2007397001
34	0.1977694545
35	0.1961555427
36	0.1940655942
37	0.1918162952
38	0.1898893269
39	0.1884477595
40	0.1872052363
41	0.1847842052
42	0.1837161152
43	0.1824523183
44	0.1816352876
45	0.1803427111
46	0.1791117368
47	0.177640751
48	0.1762477234
49	0.1752879291
50	0.174456111
51	0.1734272864
52	0.1724309092
53	0.1717825245
54	0.1710660049
55	0.1703930251
56	0.1695101974
57	0.1687450653
58	0.1678681695
59	0.1670657099
60	0.1662879654
61	0.1653968035
62	0.1648941246
63	0.1641326447
64	0.163636361
65	0.1628774299
66	0.1623690757
67	0.1619415404
68	0.1611045956
69	0.160661054
70	0.1601503377
71	0.1593409199
72	0.1588116767
73	0.1582174597
74	0.1575205392
75	0.1570849008
76	0.156611325
77	0.1561977005
78	0.1556625925
79	0.1550587737
80	0.1544410002
81	0.1540384051
82	0.1536316825
83	0.1531109059
84	0.1526724998
85	0.1516735856
86	0.1513078977
87	0.1510343144
88	0.1506119805
89	0.1501150245
90	0.1497439952
91	0.1493120801
92	0.1487563518
93	0.1483037707
94	0.1479892161
95	0.1476896926
96	0.1473057191
97	0.1470042034
98	0.1463595597
99	0.1461239403
100	0.1457002409
101	0.1453268597
102	0.1448351239
103	0.1445679667
104	0.1443137138
105	0.1439877313
106	0.1435295315
107	0.1431867977
108	0.1429610871
109	0.1426403509
110	0.1423504013
111	0.141978976
112	0.141750568
113	0.1415705954
114	0.141203268
115	0.1406827449
116	0.1404473562
117	0.1400402936
118	0.139493414
119	0.1392482394
120	0.1389481309
121	0.138743233
122	0.1384684849
123	0.1382415516
124	0.1379869276
125	0.1377810661
126	0.1374604129
127	0.1371300008
128	0.1367807819
129	0.1364174461
130	0.1362769793
131	0.1359894043
132	0.135797595
133	0.1355987532
134	0.1351790685
135	0.1347893929
136	0.1345885433
137	0.1342879954
138	0.1340324457
139	0.1338482229
140	0.1337054716
141	0.1334011978
142	0.1332179168
143	0.1330841889
144	0.132824458
145	0.1327274382
146	0.1322661013
147	0.1320401535
148	0.1318430424
149	0.1316839982
150	0.1314962905
151	0.1311916227
152	0.1310319193
153	0.1306784908
154	0.1305053723
155	0.1303073598
156	0.1300834702
157	0.1299173138
158	0.1295983118
159	0.1293529177
160	0.1291700821
161	0.1289820383
162	0.1287861811
163	0.1285689689
164	0.128424912
165	0.1281590913
166	0.1279362915
167	0.127686591
168	0.1274329756
169	0.1272189526
170	0.1270844381
171	0.1269080015
172	0.1267814319
173	0.1264935581
174	0.1263699863
175	0.1261842906
176	0.125974456
177	0.1258095776
178	0.1255612911
179	0.1253669107
180	0.1252178105
181	0.125035785
182	0.124875835
183	0.1246452509
184	0.1244864377
185	0.1244065956
186	0.124202769
187	0.1240747495
188	0.123822394
189	0.1237421383
190	0.1235507764
191	0.1233227114
192	0.1232182674
193	0.123098679
194	0.1229299823
195	0.1227382514
196	0.1224979709
197	0.1222836256
198	0.1221313675
199	0.1219503348
200	0.1217768221
201	0.121578462
202	0.1213781929
203	0.1212061113
204	0.1208845398
205	0.1208288584
206	0.1206724947
207	0.1205349479
208	0.1204492408
209	0.120284746
210	0.120037869
211	0.1197971599
212	0.1195594484
213	0.1193896801
214	0.1192239741
215	0.1191477922
216	0.1189289844
217	0.118799707
218	0.1186605023
219	0.1185082016
220	0.1183901452
221	0.1182251914
222	0.1181232542
223	0.1179052906
224	0.1177228554
225	0.1175842133
226	0.1174372972
227	0.1173404204
228	0.1171759296
229	0.1169497226
230	0.1168078756
231	0.1166444274
232	0.116468368
233	0.1163101094
234	0.1161016587
235	0.1158801088
236	0.1157942638
237	0.1156430548
238	0.11551857
239	0.1152977046
240	0.1152454634
241	0.1151292277
242	0.114980995
243	0.1148577142
244	0.114809321
245	0.1146437006
246	0.1145100184
247	0.1143713533
248	0.1142429538
249	0.1141174643
250	0.1140557492
251	0.1138865613
252	0.1135442097
253	0.1134469049
254	0.113219358
255	0.113124033
256	0.1128321919
257	0.1127086515
258	0.1126079555
259	0.1124219999
260	0.1122846364
261	0.112131954
262	0.1119917311
263	0.1117878213
264	0.1115940432
265	0.111437838
266	0.1112605682
267	0.1110942938
268	0.1109748131
269	0.1107556665
270	0.11049818
271	0.1103361045
272	0.1102280984
273	0.1099254216
274	0.109778214
275	0.1096626831
276	0.109584726
277	0.1095088808
278	0.1094326497
279	0.1092323159
280	0.1091590799
281	0.1089495913
282	0.108846004
283	0.1086599009
284	0.1083460366
285	0.1082052124
286	0.1079748596
287	0.1078267164
288	0.1077928983
289	0.1076617238
290	0.1075575823
291	0.1073933951
292	0.1073008324
293	0.1070477785
294	0.1069012894
295	0.1068600695
296	0.106729864
297	0.1066520526
298	0.1064922856
299	0.1063823894
300	0.1062462746
301	0.1060751531
302	0.1059600609
303	0.1058685834
304	0.1057520029
305	0.1056607384
306	0.1055068437
307	0.1053896574
308	0.1052279028
309	0.105089031
310	0.1048684296
311	0.1048174835
312	0.1047003931
313	0.1045717595
314	0.1045083934
315	0.1044598802
316	0.104317228
317	0.1042055246
318	0.1040579766
319	0.1039427137
320	0.1038032393
321	0.1033972878
322	0.1032223611
323	0.103178005
324	0.1031404026
325	0.1030505437
326	0.1029505911
327	0.1029288201
328	0.1027811026
329	0.1026798794
330	0.1026093848
331	0.1025294691
332	0.102407545
333	0.1023046102
334	0.1021449049
335	0.1020561084
336	0.1020313051
337	0.1019331248
338	0.1018214798
339	0.1016090544
340	0.1014303947
341	0.1013092893
342	0.1012078913
343	0.1011227411
344	0.1009746952
345	0.1008567838
346	0.100751752
347	0.1006938654
348	0.1006551074
349	0.1005520694
350	0.1004406738
351	0.1002624037
352	0.1002227459
353	0.1001029805
354	0.1000525945
355	0.09996026283
356	0.09983913427
357	0.09970294059
358	0.09959631341
359	0.09951568896
360	0.09943137847
361	0.09940009386
362	0.09936216632
363	0.09920373315
364	0.09901543053
365	0.09892094181
366	0.0988527335
367	0.09871887485
368	0.098698981
369	0.09864077652
370	0.09855970331
371	0.09843564821
372	0.09835436271
373	0.09826779235
374	0.09807714296
375	0.09803119042
376	0.09794043481
377	0.09786449211
378	0.09773598861
379	0.09764360142
380	0.09751680607
381	0.09747864209
382	0.09736605553
383	0.09723132964
384	0.09718513515
385	0.097142411
386	0.09704481659
387	0.09693070901
388	0.09687527526
389	0.0967083032
390	0.09665438617
391	0.09649222996
392	0.09645041887
393	0.09638222553
394	0.09630505443
395	0.09628682722
396	0.09617783685
397	0.0960060652
398	0.09595597128
399	0.09583373769
400	0.09574310253
401	0.09560430961
402	0.09551089452
403	0.09537198747
404	0.09525648628
405	0.09520738764
406	0.09508778672
407	0.09505754668
408	0.09502876122
409	0.09501688219
410	0.09499818533
411	0.09493435651
412	0.09478776477
413	0.09471294721
414	0.09463844026
415	0.09459010823
416	0.09445706359
417	0.0944293413
418	0.09432187743
419	0.09427015104
420	0.09420904759
421	0.0939563463
422	0.09388658225
423	0.09387721152
424	0.09383531832
425	0.093730398
426	0.09359515807
427	0.09350598969
428	0.09336734576
429	0.09331752882
430	0.09325465996
431	0.09322173855
432	0.09319312895
433	0.09316644797
434	0.09313142804
435	0.09306568462
436	0.09296892104
437	0.09291175046
438	0.09284390378
439	0.09265716821
440	0.0925964342
441	0.09246825853
442	0.09244239841
443	0.09240990259
444	0.09225604658
445	0.09223591229
446	0.0921204796
447	0.09191088498
448	0.09184836511
449	0.09179929642
450	0.09172687683
451	0.09169779605
452	0.09167458451
453	0.09159719248
454	0.09149694404
455	0.09141782788
